"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"UGA3" "MATCH" "1" "UGA3" "S. cerevisiae" "Utilization of GAba" "1587" "YDL170W" "S000002329" "ORF"
"ECM22" "MATCH" "1" "ECM22" "S. cerevisiae" "ExtraCellular Mutant" "2445" "YLR228C" "S000004218" "ORF"
"HAL9" "MATCH" "1" "HAL9" "S. cerevisiae" "HALotolerance" "3093" "YOL089C" "S000005449" "ORF"
"JHD1" "MATCH" "1" "JHD1" "S. cerevisiae" "JmjC domain-containing Histone Demethylase" "1479" "YER051W" "S000000853" "ORF"
"TOD6" "MATCH" "1" "TOD6" "S. cerevisiae" "Twin Of Dot6p" "1578" "YBL054W" "S000000150" "ORF"
"ARO80" "MATCH" "1" "ARO80" "S. cerevisiae" "AROmatic amino acid requiring" "2853" "YDR421W" "S000002829" "ORF"
"UPC2" "MATCH" "1" "UPC2" "S. cerevisiae" "UPtake Control" "2742" "YDR213W" "S000002621" "ORF"
"DOT6" "MATCH" "1" "DOT6" "S. cerevisiae" "Disruptor Of Telomeric silencing" "2013" "YER088C" "S000000890" "ORF"
"ARR1" "MATCH" "1" "ARR1" "S. cerevisiae" "ARsenicals Resistance" "885" "YPR199C" "S000006403" "ORF"
"MBP1" "MATCH" "1" "MBP1" "S. cerevisiae" "MluI-box Binding Protein" "2502" "YDL056W" "S000002214" "ORF"
"ARG80" "MATCH" "1" "ARG80" "S. cerevisiae" "ARGinine requiring" "534" "YMR042W" "S000004645" "ORF"
"ARG81" "MATCH" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"NHP10" "MATCH" "1" "NHP10" "S. cerevisiae" "Non-Histone Protein" "612" "YDL002C" "S000002160" "ORF"
"SUT1" "MATCH" "1" "SUT1" "S. cerevisiae" "Sterol UpTake" "900" "YGL162W" "S000003130" "ORF"
"ECM23" "MATCH" "1" "ECM23" "S. cerevisiae" "ExtraCellular Mutant" "564" "YPL021W" "S000005942" "ORF"
"RME1" "MATCH" "1" "RME1" "S. cerevisiae" "Regulator of MEiosis" "903" "YGR044C" "S000003276" "ORF"
"HMS1" "MATCH" "1" "HMS1" "S. cerevisiae" "High-copy Mep Suppressor" "1305" "YOR032C" "S000005558" "ORF"
"YPR015C" "MATCH" "1" "" "S. cerevisiae" "" "744" "YPR015C" "S000006219" "ORF"
"STP4" "MATCH" "1" "STP4" "S. cerevisiae" "protein with similarity to Stp1p" "1473" "YDL048C" "S000002206" "ORF"
"STP3" "MATCH" "1" "STP3" "S. cerevisiae" "protein with similarity to Stp1p" "1032" "YLR375W" "S000004367" "ORF"
"STP2" "MATCH" "1" "STP2" "S. cerevisiae" "protein with similarity to Stp1p" "1626" "YHR006W" "S000001048" "ORF"
"STP1" "MATCH" "1" "STP1" "S. cerevisiae" "Species-specific tRNA Processing" "1560" "YDR463W" "S000002871" "ORF"
"TOS8" "MATCH" "1" "TOS8" "S. cerevisiae" "Target Of Sbf" "831" "YGL096W" "S000003064" "ORF"
"SKN7" "MATCH" "1" "SKN7" "S. cerevisiae" "Suppressor of Kre Null" "1869" "YHR206W" "S000001249" "ORF"
"RFX1" "MATCH" "1" "RFX1" "S. cerevisiae" "Regulatory Factor X" "2436" "YLR176C" "S000004166" "ORF"
"DIG1" "MATCH" "1" "DIG1" "S. cerevisiae" "Down-regulator of Invasive Growth" "1359" "YPL049C" "S000005970" "ORF"
"ACE2" "MATCH" "1" "ACE2" "S. cerevisiae" "Activator of CUP1 Expression" "2313" "YLR131C" "S000004121" "ORF"
"PPR1" "MATCH" "1" "PPR1" "S. cerevisiae" "Pyrimidine Pathway Regulation" "2715" "YLR014C" "S000004004" "ORF"
"SKO1" "MATCH" "1" "SKO1" "S. cerevisiae" "Suppressor of Kinase Overexpression" "1944" "YNL167C" "S000005111" "ORF"
"PHD1" "MATCH" "1" "PHD1" "S. cerevisiae" "PseudoHyphal Determinant" "1101" "YKL043W" "S000001526" "ORF"
"WAR1" "MATCH" "1" "WAR1" "S. cerevisiae" "Weak Acid Resistance" "2835" "YML076C" "S000004541" "ORF"
"RPN4" "MATCH" "1" "RPN4" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1596" "YDL020C" "S000002178" "ORF"
"YOX1" "MATCH" "1" "YOX1" "S. cerevisiae" "Yeast homeobOX" "1158" "YML027W" "S000004489" "ORF"
"SWI4" "MATCH" "1" "SWI4" "S. cerevisiae" "SWItching deficient" "3282" "YER111C" "S000000913" "ORF"
"FKH1" "MATCH" "1" "FKH1" "S. cerevisiae" "ForK head Homolog" "1455" "YIL131C" "S000001393" "ORF"
"FKH2" "MATCH" "1" "FKH2" "S. cerevisiae" "ForK head Homolog" "2589" "YNL068C" "S000005012" "ORF"
"SWI6" "MATCH" "1" "SWI6" "S. cerevisiae" "SWItching deficient" "2412" "YLR182W" "S000004172" "ORF"
"SWI5" "MATCH" "1" "SWI5" "S. cerevisiae" "SWItching deficient" "2130" "YDR146C" "S000002553" "ORF"
"TEC1" "MATCH" "1" "TEC1" "S. cerevisiae" "Transposon Enhancement Control" "1461" "YBR083W" "S000000287" "ORF"
"THI2" "MATCH" "1" "THI2" "S. cerevisiae" "THIamine metabolism" "1353" "YBR240C" "S000000444" "ORF"
"REI1" "MATCH" "1" "REI1" "S. cerevisiae" "REquired for Isotropic bud growth" "1182" "YBR267W" "S000000471" "ORF"
"FZF1" "MATCH" "1" "FZF1" "S. cerevisiae" "Five Zinc Fingers" "900" "YGL254W" "S000003223" "ORF"
"RGM1" "MATCH" "1" "RGM1" "S. cerevisiae" "" "636" "YMR182C" "S000004794" "ORF"
"SNF1" "MATCH" "1" "SNF1" "S. cerevisiae" "Sucrose NonFermenting" "1902" "YDR477W" "S000002885" "ORF"
"XBP1" "MATCH" "1" "XBP1" "S. cerevisiae" "XhoI site-Binding Protein" "1944" "YIL101C" "S000001363" "ORF"
"ASG1" "MATCH" "1" "ASG1" "S. cerevisiae" "Activator of Stress Genes" "2895" "YIL130W" "S000001392" "ORF"
"TEA1" "MATCH" "1" "TEA1" "S. cerevisiae" "Ty Enhancer Activator" "2280" "YOR337W" "S000005864" "ORF"
"SUT2" "MATCH" "1" "SUT2" "S. cerevisiae" "Sterol UpTake" "807" "YPR009W" "S000006213" "ORF"
"YLL054C" "MATCH" "1" "" "S. cerevisiae" "" "2532" "YLL054C" "S000003977" "ORF"
"STB5" "MATCH" "1" "STB5" "S. cerevisiae" "Sin Three Binding protein" "2232" "YHR178W" "S000001221" "ORF"
"YRM1" "MATCH" "1" "YRM1" "S. cerevisiae" "Yeast Reveromycin resistance Modulator" "2361" "YOR172W" "S000005698" "ORF"
"STB3" "MATCH" "1" "STB3" "S. cerevisiae" "Sin Three Binding protein" "1542" "YDR169C" "S000002576" "ORF"
"STB4" "MATCH" "1" "STB4" "S. cerevisiae" "Sin Three Binding protein" "2850" "YMR019W" "S000004621" "ORF"
"RAP1" "MATCH" "1" "RAP1" "S. cerevisiae" "Repressor/Activator site binding Protein" "2484" "YNL216W" "S000005160" "ORF"
"STB1" "MATCH" "1" "STB1" "S. cerevisiae" "Sin Three Binding protein" "1263" "YNL309W" "S000005253" "ORF"
"STB2" "MATCH" "1" "STB2" "S. cerevisiae" "Sin Three Binding protein" "2553" "YMR053C" "S000004657" "ORF"
"RSC3" "MATCH" "1" "RSC3" "S. cerevisiae" "Remodel the Structure of Chromatin" "2658" "YDR303C" "S000002711" "ORF"
"MATALPHA2" "MATCH" "1" "MATALPHA2" "S. cerevisiae" "MATing type protein ALPHA" "633" "YCR039C" "S000000635" "ORF"
"YLR278C" "MATCH" "1" "" "S. cerevisiae" "" "4026" "YLR278C" "S000004268" "ORF"
"GIS1" "MATCH" "1" "GIS1" "S. cerevisiae" "GIg1-2 Suppressor" "2685" "YDR096W" "S000002503" "ORF"
"ASH1" "MATCH" "1" "ASH1" "S. cerevisiae" "Asymmetric Synthesis of HO" "1767" "YKL185W" "S000001668" "ORF"
"SOK2" "MATCH" "1" "SOK2" "S. cerevisiae" "Suppressor Of Kinase" "2358" "YMR016C" "S000004618" "ORF"
"NDD1" "MATCH" "1" "NDD1" "S. cerevisiae" "Nuclear Division Defective" "1665" "YOR372C" "S000005899" "ORF"
"RSF2" "MATCH" "1" "RSF2" "S. cerevisiae" "ReSpiration Factor" "4143" "YJR127C" "S000003888" "ORF"
"YPR196W" "MATCH" "1" "" "S. cerevisiae" "" "1413" "YPR196W" "S000006400" "ORF"
"OPI1" "MATCH" "1" "OPI1" "S. cerevisiae" "OverProducer of Inositol" "1215" "YHL020C" "S000001012" "ORF"
"IME1" "MATCH" "1" "IME1" "S. cerevisiae" "Inducer of MEiosis" "1083" "YJR094C" "S000003854" "ORF"
"ABF1" "MATCH" "1" "ABF1" "S. cerevisiae" "ARS-Binding Factor 1" "2196" "YKL112W" "S000001595" "ORF"
"CIN5" "MATCH" "1" "CIN5" "S. cerevisiae" "Chromosome INstability" "888" "YOR028C" "S000005554" "ORF"
"ABF2" "MATCH" "1" "ABF2" "S. cerevisiae" "ARS-Binding Factor" "552" "YMR072W" "S000004676" "ORF"
"GAT1" "MATCH" "1" "GAT1" "S. cerevisiae" "" "1533" "YFL021W" "S000001873" "ORF"
"GAT3" "MATCH" "1" "GAT3" "S. cerevisiae" "" "426" "YLR013W" "S000004003" "ORF"
"GAT4" "MATCH" "1" "GAT4" "S. cerevisiae" "" "366" "YIR013C" "S000001452" "ORF"
"SIP4" "MATCH" "1" "SIP4" "S. cerevisiae" "SNF1-Interacting Protein" "2490" "YJL089W" "S000003625" "ORF"
"BAS1" "MATCH" "1" "BAS1" "S. cerevisiae" "BASal" "2436" "YKR099W" "S000001807" "ORF"
"HMRA2" "MATCH" "1" "HMRA2" "S. cerevisiae" "Hidden Mat Right A" "360" "YCR096C" "S000000692" "ORF"
"RTG3" "MATCH" "1" "RTG3" "S. cerevisiae" "ReTroGrade regulation" "1461" "YBL103C" "S000000199" "ORF"
"RTG1" "MATCH" "1" "RTG1" "S. cerevisiae" "ReTroGrade regulation" "534" "YOL067C" "S000005428" "ORF"
